id	occupation	fine-tuned-0-he	fine-tuned-0-she	fine-tuned-500-he	fine-tuned-500-she	fine-tuned-1000-he	fine-tuned-1000-she	fine-tuned-2000-he	fine-tuned-2000-she	fine-tuned-5000-he	fine-tuned-5000-she	fine-tuned-10000-he	fine-tuned-10000-she	fine-tuned-20000-he	fine-tuned-20000-she
566	engineer	3.5402352015177407	4.984202106793721	2.4200530648231506	2.8101970156033835	2.670119563738505	2.944073180357615	2.8803393244743347	2.9124139547348022	3.29047554731369	3.307301342487335	4.585547685623169	4.511047124862671	5.064425428708394	5.059617877006531
567	engraver	10.199779550234476	11.184340476989746	4.672910730044047	4.990764280160268	4.170754770437877	4.400504946708679	4.746251086393992	4.6301615834236145	5.044980625311534	5.086255709330241	6.0332032442092896	5.8877827525138855	6.741925100485484	6.752584775288899
568	engrosser	4.4165835579236346	4.704362094402313	3.032718221346537	3.138616363207499	2.966142197450002	3.011084814866384	2.583379864692688	2.4804953932762146	2.414609213670095	2.3558345635732016	2.842743734518687	2.7746796210606894	2.6496288180351257	2.6018441120783486
569	enologist	6.3604709307352705	6.877420822779338	3.9682405591011047	4.12121723095576	4.0399169921875	4.170868754386902	4.318828125794728	4.108108560244243	4.238709926605225	4.122887631257375	4.6549301743507385	4.497291584809621	4.067258516947429	3.977188527584076
570	enrober	27.810320615768433	31.771422386169434	9.508941928545633	10.241960843404135	9.434500376383463	9.78439728418986	11.323239803314209	10.975453694661459	8.394034584363302	8.36054011185964	7.929401318232219	7.806235194206238	2.7051847775777182	2.6523560086886087
571	enroller	13.542869249979654	14.989064892133078	5.258685946464539	5.603538314501445	6.957188447316487	7.263748288154602	5.925622383753459	5.790262818336487	5.9965018431345625	5.904107133547465	6.972381015618642	6.803784271081288	5.34381918112437	5.250435054302216
572	enterer	19.8534996509552	21.493468205134075	6.10069986184438	6.377226551373799	8.589318235715231	8.826414903004965	5.438060561815898	5.157516082127889	6.817155957221985	6.605594436327617	8.231032053629557	7.889731208483378	7.514370361963908	7.34769880771637
573	entrepreneur	5.446250955263774	6.144593437512715	3.586922903855642	3.908816337585449	4.0495714743932085	4.322476307551066	3.8914956053098044	3.829949418703715	4.010603547096252	3.978136897087097	5.142371753851573	4.989798406759898	5.7555566628774	5.67713063955307
574	epidemiologist	2.346586028734843	2.3707024852434793	1.7689758737881978	1.8372889757156372	1.761244793732961	1.8169039090474446	1.7927871346473694	1.7410058577855427	1.8807316621144612	1.8506970206896465	2.409382422765096	2.3391435941060386	2.2790262500445047	2.214437266190847
575	eradicator	3.213524083296458	3.346955935160319	2.035842219988505	2.1675931811332703	2.088824987411499	2.1614994009335837	2.1067897280057273	2.0541595220565796	2.1609928011894226	2.1423965891202292	2.841311434904734	2.773216466108958	2.6633710662523904	2.6271555622418723
576	ergonomist	2.888578772544861	3.199030558268229	1.895740807056427	2.0020751555760703	1.8481192986170452	1.9143757820129395	1.7970330516497295	1.748275101184845	1.92054150501887	1.8940261205037434	2.265484571456909	2.220318078994751	2.113060712814331	2.0794883370399475
577	esthetician	2.6593212683995566	2.757162173589071	2.036271591981252	2.151642640431722	2.092683792114258	2.1433987816174827	2.1781381964683533	2.1030624508857727	2.0074660976727805	1.9608529408772786	2.589214781920115	2.4913688699404397	2.4327449798583984	2.344950576623281
578	estimator	3.191404104232788	3.637044886747996	2.1154364148775735	2.266382118066152	2.1590245167414346	2.245502531528473	2.2046304742495217	2.1230056285858154	2.246732234954834	2.2020902037620544	2.9016447265942893	2.8167614539464316	2.7315314412117004	2.6452808181444802
579	ethnoarchaeologist	2.2222519914309182	2.304110566775004	1.7037486632664998	1.760896662871043	1.6180033087730408	1.6667831341425579	1.6665215094884236	1.6273059447606404	1.736106276512146	1.7120860417683919	2.186639408270518	2.135993540287018	1.962100903193156	1.9359938700993855
580	ethnographer	2.668024003505707	2.691633145014445	1.885654886563619	1.9745359023412068	1.9284542401631672	2.0050997932751975	1.879784385363261	1.8266098697980244	2.0439817706743875	2.017916679382324	2.5458923975626626	2.4724658131599426	2.403905729452769	2.36882746219635
581	ethologist	2.6771557331085205	2.867354373137156	1.949438254038493	2.0631237030029297	2.0143370032310486	2.0870776176452637	2.070114235083262	2.0160259207089744	2.193871855735779	2.1601147055625916	2.78046715259552	2.703413744767507	2.413602431615194	2.358416577180227
