word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
monotyper, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, -5.08128818217665, 7.044911989243701, -5.819671548902988, -8.913582798093557, 5.782803278416395, -6.862994307652116, -5.310216373298317, -6.338858902454376, -4.7963904440402985, 5.819885099772364, -6.871593743562698, -7.188319236040115, -3.9933962747454643, 0.22479206544170793, 0.3905808538435497, 0.25191556356950573, 0.32804561477022076, 0.6716452435822567, 0.4876788630620193, 0.615301699556555, 0.8955369435734851, 0.4763929844397813, 0.3219942963397672, 0.3847879054969999, 0.3714697575670936, 0.43473604557971457
monotypist, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, -4.586877685971558, -8.688020075438544, -7.085353698581457, -9.998301982879639, -4.852784235030413, -10.190511660650373, -6.843202250543982, -8.86881023272872, 5.330805171281099, -6.96925992006436, -8.663186937570572, -7.140980027616024, -6.053366281092167, 0.14552892814037915, 0.3342847493495276, 0.3481553647027782, 0.2015208139116742, 0.4041050862254636, 0.48042814524071886, 0.6289634316083923, 0.2967001512231512, 0.45486969443098374, 0.5843868964934699, 0.5801437438694818, 0.49662841985162776, 0.42769297023631814
mooner, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, -6.317895085550845, -8.345479200361297, -6.730354968458414, 10.334642119705677, 4.433495901525021, -6.610361846163869, 6.48232759302482, 6.921885967254639, 4.713934563100338, -4.671616020146757, 6.591492116451263, -5.905979923903942, 5.198361061513424, 0.17068613292725537, 0.30231000113752426, 0.2733226761086499, 0.4357968705599924, 0.34269655640553476, 0.48975630068451725, 0.6438307698405286, 0.808807580256651, 0.543479850083517, 0.31323204934918203, 0.4380844988770407, 0.33616060975001594, 0.3365610765896273
mopper, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, -4.418930976651609, -7.326403083978221, -5.3716848231852055, -6.924781940877438, 4.963501986116171, -7.754809403792024, -7.021876191254705, -6.008739322423935, -5.355548664927483, 6.224063879344612, -6.203895643353462, -6.485845513641834, 6.256337586790323, 0.1770014473002916, 0.35132424522440286, 0.25182123509286947, 0.36252018571439815, 0.22307787171761403, 0.5687448213384972, 0.28851667697513594, 0.5678988690933097, 0.35818462989471245, 0.27327219616969783, 0.6048654162182961, 0.22499337669150635, 0.4231027696211511
morphologist, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, -5.0410047406330705, -7.924324468476698, -7.872039247304201, -8.558697206899524, -5.030815098434687, -6.672469766810536, -8.355427985545248, 7.703012200072408, -4.636956829577684, -7.3977632275782526, -6.925455503165722, -6.68345844373107, 5.508230395615101, 0.36087240459340986, 0.22888825922723977, 0.41323727203989746, 0.33622300331023025, 0.28007486567556195, 0.487398443151639, 0.51138882106129, 0.8160035090165842, 0.35926869228302416, 0.5412320744022637, 0.2702947335032036, 0.5104025551453231, 0.40627534130195897
mortarman, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, -8.144788988865912, -8.352674568770453, -6.448055312037468, -9.793305188417435, 7.475853610783815, -6.6501389760524035, 5.541637403424829, -6.04861568659544, 4.226910598576069, 5.398225339595228, -7.122167602181435, -5.733555268496275, -5.612347721122205, 0.5160377517302935, 0.7939801903180752, 0.38517332220110556, 0.4835839045078684, 0.4766125132371827, 0.403784429469256, 0.5709288255759335, 0.7314709359335503, 0.19309456035669176, 0.22622812888033503, 0.3293605511543111, 0.2803158746032095, 0.1995265223201555
mosaicist, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, -5.683637239970267, -7.123378100572154, 5.60965583845973, -8.145349867641926, -8.260617937892675, -6.801645616069436, 6.895222415681928, 7.77441818267107, -5.68112862855196, -4.490712305996567, 8.587013587355614, -5.467787265777588, -7.814182017929852, 0.49923973526504495, 0.47120006978890105, 0.40249084496207577, 0.4870794871400139, 0.3560772210987968, 0.36708741280164225, 0.6686120370287452, 0.760150201239373, 0.43632408588846067, 0.27284628747543416, 0.34677716843679884, 0.3076750942563209, 0.2954358743252755
moshgiach, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, -5.711735821329057, -6.39492545532994, -7.042912904173136, -6.747044242918491, 4.74229783937335, -7.81761883944273, -4.737669718917459, 8.66389486193657, -3.8242680430412292, -6.273158107418567, 7.23054264485836, 8.276820892468095, 5.210364416241646, 0.2586675208630377, 0.4296036484479123, 0.4790369470614534, 0.48179534574477323, 0.42325116536953494, 0.3707584629115755, 0.4223772005513578, 0.3552861008452477, 0.3163118866502369, 0.4381506292378851, 0.4640570858479646, 0.43035900449799946, 0.349530438995813
mounter, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, -6.35995467659086, -7.446182320592925, -7.145302530378103, -7.069854035973549, -6.28023312613368, 4.892762420699, 6.2137185162864625, -7.657661117613316, 4.6657524555921555, -5.388522672001272, -9.1209037899971, 5.7405567318201065, -4.99654022231698, 0.3563083297915145, 0.2598695377708198, 0.5110632391943635, 0.29736942903215424, 0.3973146283771287, 0.31974034023927383, 0.6185745850282179, 0.8457099326087157, 0.29251891272490815, 0.31043078138686925, 0.41813953816789606, 0.30393130532125406, 0.26009544954126973
moveman, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, -7.990833410061896, -8.911601195810363, -5.877726960927248, -8.79156894236803, -6.128159981220961, -8.038597011938691, 6.261846689041704, 5.719242751598358, 4.177810363471508, 4.6163211152888834, -6.3869741559028625, -7.729589909315109, -4.809772737324238, 0.5866315739970153, 0.49904531074721603, 0.41141690005975046, 0.4353014816766188, 0.596428899990658, 0.47212303517027526, 0.48639602435692697, 0.6298056444588033, 0.4190444741696556, 0.23833778707222378, 0.31387416738854046, 0.523125744798509, 0.39208303642473674
