word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
tromper, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.2531756499566793, -1.033822666092422, -0.8336354639846218, -0.7178274136449662, -0.3904997776187553, -0.4532352295656092, -0.17037442071874803, -0.44153819405655975, -0.5228849180476145, -0.68697755546461, -0.627165676521049, -0.5161315966016573, -0.6847010116352441, 3.8668196463748976, 3.6965962801956107, 3.999194206875737, 4.142823032741826, 4.532377957213464, 4.575652124929084, 4.717548245177683, 5.041218091308915, 4.537423999361014, 5.230335717148866, 5.759201192383729, 5.87144515835165, 5.908625012246367
trucker, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.5685576429974732, -1.5537341528154134, -1.536033674552895, -1.0531768808303206, -0.686231379958739, -0.6983704719977919, -0.5685096539218859, -0.8945377547004211, -0.9296243215747453, -1.172140411493737, -1.0755780189349273, -0.8533347906288467, -0.5935687549214697, 4.147050055055046, 4.165425179428352, 4.40501006403511, 4.65612217832688, 5.221138004627363, 5.435834308334423, 5.573720913628625, 5.681664587839828, 5.0265875555795905, 5.652922843283713, 6.328750881515164, 6.253535458625667, 6.547824644811923
truckman, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.8644463348636158, -1.0456940443012088, -1.249891620082496, -1.0521129655391064, -0.8389669160434607, -0.9426138474136225, -0.9207377532034965, -1.1302454798323427, -1.0577673795147426, -1.185113731130868, -0.9515989579751803, -0.7052264281014455, -0.4091257179403089, 4.155332851937609, 4.344963759087099, 4.6818334726038096, 5.069021025657596, 5.634129854181697, 5.729805471116132, 5.640536478754697, 5.692104344233073, 5.044104883473367, 5.498096181723518, 6.077905252815227, 6.057326366456728, 7.4202933392545996
trucksmith, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.11020518398340662, -0.30045626594583313, -0.32855613007975326, -0.18355314686288265, -0.0002920005943550467, -0.09432857250742227, -0.1347666208954015, -0.32719623909191664, -0.6830750633960676, -0.7799009788171738, -0.8207197334262859, -0.718682489187412, -0.45110099084035843, 4.533049287305438, 4.302196370616218, 4.637396893845734, 4.906999302045432, 5.356379414171814, 5.370626508254059, 5.475570531098564, 5.495673098856357, 4.813583753732703, 5.663926413433488, 6.265077297969173, 6.37511571875433, 6.740363934868755
tuckpointer, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, -0.9743395957961263, -0.926007650801709, -0.9231063872657891, -0.582559918117266, -0.3055250727892103, 0.03155430238522766, 0.15801938188567158, 0.002125636959288155, -0.17655348699703519, -0.2929515115657875, -0.2309452126543446, -0.1542658403606679, 0.18445035866406734, 3.82911431340393, 3.7143497444800055, 3.9927033035975095, 4.373477501196846, 4.73182534957979, 4.839315726657543, 5.068945791435535, 5.2864195815345125, 4.873380165015977, 5.437375905960749, 5.922228550505144, 5.956817541852495, 6.745963064006922
tufter, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.9647900696574404, -0.9288492205110904, -0.755181496953301, -0.53681504349789, -0.26413368465769854, -0.1614496743690665, -0.2635850714918503, -0.544818488641972, -0.3009425893421201, -0.3942699143037149, -0.5636792678067123, -0.5975047843261726, -0.5856150099902863, 3.678797159711992, 3.6193253351335892, 3.9936394364434262, 4.167988548568817, 4.510331716388631, 4.659352886061623, 4.788903921135885, 5.183735988787905, 4.866079439260336, 5.562060308850474, 6.166315918755512, 6.601558090448282, 7.422377145840803
tunneller, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.6489444655589087, -0.7331753102533133, -0.7088211213746826, -0.4570375702778525, -0.42953116971673155, -0.5250936904981631, -0.6544425517978524, -0.8542416969810143, -0.973692212179121, -1.259970915019684, -1.383087718115389, -1.0805143085145164, -0.6521474293643866, 4.200166216029455, 4.243452290084697, 4.645194961906302, 4.783584056776242, 5.164463834075317, 5.22489458217121, 5.345144947334338, 5.701380374074981, 5.082660826808635, 5.6250564472621445, 6.28265537018883, 6.198323720060635, 5.9678402597642854
turpentiner, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, -0.3237578519483613, -0.2482983045003305, -0.2872392717715522, -0.13668098412349497, 0.05723043438759532, 0.05201804453574424, -0.012421549305455118, -0.23942900300818334, -0.13393255818408756, -0.15449462876241768, -0.4135489861553564, -0.2880841264792476, -0.47253659242411117, 3.501737539502407, 3.385372610516554, 3.7852788085217406, 4.180649214484264, 4.581776377561093, 4.692175016289831, 4.825901711502522, 4.99219590175824, 4.6847018443175035, 5.214333524554199, 5.932166567035308, 6.259840222137898, 7.285520482014645
tutor, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.6826588687616173, -0.7324113184574335, -0.4348208607222966, -0.3592561629983961, -0.4386106610136053, -0.38295822856817757, -0.2864488735308042, -0.38651119753918084, -0.49837915354316553, -0.5537639210817172, -0.7269357735771473, -0.824309890946456, -0.5484919728873705, 5.961294814891116, 5.7648568757592695, 6.059386819090372, 6.303880574559184, 6.742539575713199, 6.401778995712543, 6.688307363977994, 6.852640567853485, 6.3318733258180115, 7.511391816519124, 8.177328902211007, 8.26351592704556, 7.98506579582678
twisthand, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.06878370714873529, 0.03154116873315817, 0.19365296173086552, -0.0856333458565519, -0.1314391936892428, -0.030316012826958172, -0.3436054847652326, -0.3740413808861321, -0.44064451210502537, -0.3114007434407674, -0.5130281942744519, -0.4905033526959461, -0.544936455165285, 4.941304846527618, 4.639603227106076, 4.939438748922496, 5.166063019818874, 5.576333659014208, 5.731155832288856, 5.709450493943367, 5.690402096978663, 5.192502787199636, 5.992764713323412, 6.904659568692411, 7.049017237116823, 6.516866339340989
