	Predictions													Projections												
attacher	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.300331918	-0.290978568	-0.262252777	-0.21525151	-0.283710014	-0.143588739	-0.266937221	-0.360243223	-0.485601819	-0.4534367	-0.164106627	0.011829792	-0.299070915
attenuator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.355634964	-0.38314544	-0.44672108	-0.479691106	-0.557217105	-0.600714701	-0.56907551	-0.606355879	-0.581118899	-0.737472065	-0.619219941	-0.450468645	-0.616163419
attorney	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.207648786	-0.257885123	-0.431573658	-0.546731878	-0.494562399	-0.296121406	-0.26485183	-0.252788118	-0.17381012	0.177615555	0.399129402	0.34496495	0.210047029
audiologist	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.007480254	-0.199151777	-0.205398309	-0.090484742	-0.066708269	-0.128408357	-0.244459574	-0.247194985	-0.121910676	-0.00611848	0.252305488	0.503727943	0.533910448
audiometrist	2	1	1	2	2	2	1	1	1	1	2	2	2	0.022743908	-0.111080379	-0.06222265	0.016234434	0.016085569	0.027901961	-0.121588966	-0.257443208	-0.181295044	-0.150396191	0.082634809	0.184748234	0.454327812
audioprosthologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.150281965	-0.29628386	-0.364809232	-0.388233838	-0.346291321	-0.368245542	-0.442594522	-0.618990101	-0.525243536	-0.488775236	-0.333307887	-0.104249747	-0.108431884
auditor	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.063586058	-0.296488611	-0.383983276	-0.28282749	-0.259086972	-0.186900993	-0.423494704	-0.376668594	-0.30868074	-0.142447694	0.249550366	0.367452256	0.153463626
auriculotherapist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.201936985	-0.321458433	-0.42553023	-0.36955254	-0.44968022	-0.365611074	-0.439941871	-0.506648825	-0.433411945	-0.387495506	-0.189812859	-0.023676331	-0.20680149
aurist	1	1	1	1	1	1	1	1	1	1	2	1	2	-0.240000218	-0.236799233	-0.289309344	-0.168203434	-0.32168658	-0.02454687	-0.086919166	-0.166879321	-0.02387777	-0.121216272	0.075484571	0.001681042	0.091190501
author	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.249718537	-0.129166588	-0.229020219	-0.377559239	-0.487199859	-0.240281521	-0.558111806	-0.368186248	-0.237362453	-0.042542145	0.380268938	0.364965519	0.187189469
authorizer	1	1	1	1	1	1	1	1	1	1	2	1	2	-0.37910729	-0.161186329	-0.200744261	-0.153259974	-0.269790216	-0.210244737	-0.3534568	-0.293867641	-0.277049646	-0.169178593	0.011687811	-0.047473427	0.230671834
autocad	1	1	1	1	2	1	1	1	1	1	1	1	1	-0.154918041	-0.146106053	-0.124641315	-0.115732	0.01271379	-0.179551985	-0.345514316	-0.383039949	-0.496598945	-0.545390465	-0.46582322	-0.49963037	-0.134244095
autocutter	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.054632994	-0.073309868	-0.044878834	-0.190148493	-0.21052285	-0.289240209	-0.370982515	-0.505456236	-0.602416181	-0.423869135	-0.205077589	0.024294695	-0.047641216
autoglazier	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.149799308	-0.086769079	-0.110425353	-0.145225796	-0.277907603	-0.314312257	-0.261078282	-0.315035485	-0.388263524	-0.348971252	-0.282380879	-0.302588045	-0.563307824
autographer	2	2	2	2	2	2	1	2	1	1	2	2	2	0.131079963	0.156640949	0.151789488	0.094213389	0.067632485	0.061158023	-0.016363895	0.047345489	-0.140968194	-0.079836113	0.180888782	0.31641038	0.355003393
autotransfusionist	2	1	2	1	1	1	1	1	1	1	1	1	1	0.090541009	-0.005412877	0.057392375	-0.015228843	-0.071812582	-0.134108289	-0.15145686	-0.210928409	-0.221946035	-0.204375379	-0.168006755	-0.056727674	-0.335326069
aviculturist	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.161103419	-0.240967894	-0.237366333	-0.248768269	-0.33209692	-0.184821338	-0.250002384	-0.268732591	-0.206689692	-0.223926719	-0.078590624	0.116395192	0.379357767
