word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
mohel	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.12482737253316102	-0.09483864222453808	-0.028305903183978603	-0.07044816164869315	-0.2454357846855194	-0.08826494184024541	-0.19396738793443852	-0.2065617746716173	-0.04888072185403697	-0.0921796833250505	0.009293726518623036	0.29890203246934377	-0.1547394266275378
molder	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.03250772174773803	-0.06978678584545141	-0.19920902600433338	-0.33155985017817313	-0.38587476263177917	-0.5642383283481388	-0.7308560517718294	-0.8166951451234004	-0.7814913657649398	-0.8105960430732656	-1.5684656481088595	-1.7066281761808557	-1.2881728717543763
monologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2843009203093027	-0.40049969838224064	-0.4652150160267061	-0.5238671231075295	-0.46803799277853403	-0.7041125970583902	-0.7532664880301836	-0.5696922301980274	-0.5846278234988248	-0.606734773701766	-0.6385219905785338	-0.8000581614029812	-0.9541081272071275
monotyper	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.25837300974959165	-0.38006677221335794	-0.39660289643217	-0.39208339059199504	-0.34870653682588965	-0.5992816458363551	-0.6788914598578194	-0.3677547400933029	-0.40638238887333367	-0.32414044602142844	-0.39604425183376724	-0.12396043520592026	-0.03892094755569059
monotypist	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.4912725895414523	-0.5955212384497554	-0.5217524484491632	-0.5379725274437411	-0.47104958020673676	-0.35927564404226797	-0.37867765181999674	-0.19330299659906525	-0.0029322846191232044	0.27599873490385357	0.33782099680741673	0.4250241251711866	0.3029544828466536
mooner	1	1	2	2	2	2	1	1	1	1	1	1	1	-0.08577368716992617	-0.13519357481617023	0.014065185406203981	0.03127893121328197	0.19523480876457214	0.09181465091144486	-0.021283414591160288	-0.16390216163620477	-0.5898703838364111	-0.2908003727076268	-0.8248919132356559	-0.9127773344229387	-1.0220117285992467
mopper	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14790362151478822	-0.13724804411158098	-0.26595486963355675	-0.2086663443299378	-0.3606865863579461	-0.29456562984200496	-0.5323908134566698	-0.48184689588967833	-0.5274702272930877	-0.24615002808484593	-0.22200582981837358	-0.3095495088491166	-1.3586959675676191
morphologist	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.1189593620827695	-0.3192477267409648	-0.35658907728740397	-0.23398351525719258	-0.1463805162325888	-0.28079290126706213	-0.35656311840478394	-0.09106014501343396	-0.2888182277912993	-0.2501067085507561	-0.11158798939400014	0.012877095792293736	0.11751350703845467
mortarman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2866911279653567	-0.3791178027544534	-0.46101785800054945	-0.48874074442344845	-0.45761515947126413	-0.37769886098946964	-0.4728007753495956	-0.4191810714696627	-0.7521573409699863	-0.7986054387723698	-1.1013850666856524	-1.2810323995396578	-0.7416425205707194
mosaicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.31686145101702945	-0.489277526362463	-0.5984596965509958	-0.6367631153307673	-0.7846372886187619	-0.8706827181729688	-1.2183425997309634	-1.1271366679442152	-1.2310572952377956	-1.189054229716191	-1.2552102709938258	-1.519213769032867	-1.3924155500096664
moshgiach	1	1	1	2	1	2	1	1	1	1	2	1	1	-0.12578337903081982	-0.07666692205088257	-0.07685227995170124	0.0179503469125179	-0.1104888376646348	0.05514626331473754	-0.06452645592972123	-0.10068640964957082	-0.14069402454667979	-0.02146078765514403	0.12024342383210185	-0.379977102607696	-0.393526196685265
mounter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.19024101290328	-0.2705119506064645	-0.2379544737698849	-0.3482457654964741	-0.26425413010132437	-0.3358671310287016	-0.3767202871830564	-0.4579587642135825	-0.605657459190559	-0.6911595935979459	-1.1613611056488071	-1.5196599980632268	-1.142644989435279
moveman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4101400876774235	-0.42814658463179905	-0.47091808979633987	-0.40502379477965905	-0.36639085043554026	-0.28729544343643865	-0.3719601629222335	-0.41401225732388586	-0.9274648994460901	-1.1886587390519932	-1.5638902131176864	-1.8340798298014123	-1.955220392246496
mover	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.22984151568343464	-0.23399773787809358	-0.20958304759084018	-0.1786233873943503	-0.23116196209505002	-0.164750803219889	-0.3023962433796123	-0.2580007888888305	-0.8301867852122315	-0.8636466368998084	-1.3170771768123517	-1.7654662997691513	-1.8137854716900073
movers	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.035106785746540754	-0.12430894817521917	-0.17495229387917371	-0.12514937238378765	-0.1981875275450677	-0.10074014204071731	-0.14683230760954194	-0.12217930149760453	-0.6143989563024155	-0.696989728562721	-0.9673666448010694	-1.2875980374078349	-1.7780350240009815
msw	2	2	2	2	2	1	2	2	2	2	2	2	2	0.29645141005027575	0.1696394165845982	0.3100475244724258	0.2430466074604677	0.07389970496342865	0.0012237201660177527	0.0020922243303041765	0.22792131082586864	0.8339917249512825	1.1900092720799007	1.1935510481865883	0.8718099838828247	0.22248448387770037
msws	2	2	2	2	2	1	1	1	2	2	2	2	1	0.26569909447746964	0.2330381298761212	0.25248231756570594	0.1296380515769199	0.012885915639600808	-0.11178003316821412	-0.10783764728596804	-0.08562312006261907	0.5255958784190401	0.6969791417397936	0.7813888794001724	0.3601264136714811	-0.30236492801048476
muleser	2	1	1	1	1	1	1	1	1	1	1	1	1	0.016409743622986826	-0.053553608416756646	-0.03823586397755481	-0.103848144407758	-0.11117653562031925	-0.08890265548417736	-0.24277240990949916	-0.1723418151121171	-0.45600815416721513	-0.6313062124876305	-0.6473392292842093	-0.5089294751604385	-0.9152075344667158
multigrapher	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.10408028355463264	-0.07524942843429847	-0.16543763316113003	-0.12354995055319672	-0.24258966546212185	-0.27738411831947596	-0.464677601029288	-0.2021329047368572	-0.6972598890392274	-0.5581379867756466	-0.5158826718068544	-0.6062754969800335	-0.7945163331556159
mustanger	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.18452740438679405	-0.08636906537101623	-0.17070479495193452	-0.15054817784937521	-0.22485668585149599	-0.2537624877242518	-0.41039342982480786	-0.5711362052513558	-1.0974613655461842	-0.9562185599673036	-1.5157428963439237	-2.0344661921928493	-1.9102710012167727
mycologist	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.08053463319314447	-0.07307472639227244	-0.1522977998398506	0.01571686644938064	-0.045815598352846515	-0.27759030380749666	-0.36592372313944	-0.2869510577316151	-0.4068966176827974	-0.47451000286443445	-0.4623936382134579	-0.5454778138723475	-0.9493814206235762
nanotechnician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.21239256819756427	-0.25449933079261744	-0.28886428151526145	-0.21883416958347987	-0.12688362148142487	-0.24009273910450463	-0.25541839914126674	-0.006113366220091787	-0.1973350135291665	-0.32337095740010846	-0.33971077597648913	-0.32534037117177095	-0.13653483485667145
nanotechnologist	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.2547266671128653	-0.25514107072883097	-0.3496099839589757	-0.38176618122475425	-0.33597414186542585	-0.44666348808753753	-0.4245315002623548	-0.2682206732346048	-0.45448690369405637	-0.3503411685446081	-0.16269337119343663	-0.04281286414482455	0.0427735871704521
naprapath	1	2	1	2	2	2	2	2	2	2	1	1	1	-0.030955989125672573	0.029270658641323055	-0.048381239917122426	0.07482628379829204	0.058551505873218224	0.26510936262995366	0.023628703794947303	0.13460114120519895	0.006538577771158627	0.40398539321379673	-0.263077105639445	-0.3855767737300734	-0.8797730292983249
naturalist	1	1	1	1	1	1	1	2	2	2	2	2	2	-0.2799030388806132	-0.4022746954568361	-0.38719223122193647	-0.48636291720920494	-0.3336161916359531	-0.3149382637824183	-0.3419374937749985	0.0050822150264131505	0.03741102780230196	0.16940917835188862	0.033372573482191026	0.2896880144329612	0.24416414322312174
naturopath	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.04929304667872873	-0.07204255171073669	-0.18619360941507915	-0.0747797472867924	-0.21817081963731477	-0.215995653504824	-0.5186281442312161	-0.5019137059823677	-0.8816606514067287	-0.9246569212404052	-1.060201165321858	-0.46762041759660633	-0.28300824342325115
